epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,421.733,1.41997,1.53474,1.45118,0.4351,0.32642,0.29809,0.14788,1.89475,2.20881,1.83077,0.000990365,0.000990365,0.000990365
43,431.413,1.39054,1.40702,1.42203,0.46793,0.37824,0.3949,0.19911,1.94219,2.44276,1.8038,0.000973861,0.000973861,0.000973861
44,441.6,1.40849,1.43951,1.41446,0.4452,0.34511,0.32158,0.16948,1.82569,2.28776,1.77639,0.000957358,0.000957358,0.000957358
45,452.748,1.38008,1.40197,1.4302,0.47531,0.38342,0.36725,0.20531,1.80561,2.27908,1.76357,0.000940855,0.000940855,0.000940855
46,462.345,1.3959,1.40623,1.43142,0.49341,0.3886,0.38837,0.2003,1.89335,2.21691,1.84259,0.000924352,0.000924352,0.000924352
47,472.071,1.36243,1.36727,1.40862,0.57544,0.39896,0.43124,0.24927,1.89807,1.99304,1.84645,0.000907848,0.000907848,0.000907848
48,482.487,1.36151,1.39362,1.42357,0.5969,0.37306,0.43681,0.2551,1.74382,1.97742,1.72806,0.000891345,0.000891345,0.000891345
49,493.127,1.35449,1.3549,1.40168,0.68921,0.37919,0.46921,0.2514,1.74436,1.95038,1.72497,0.000874842,0.000874842,0.000874842
50,502.382,1.30822,1.31168,1.36465,0.61658,0.39378,0.44836,0.25196,1.77108,1.86525,1.74763,0.000858338,0.000858338,0.000858338
51,512.029,1.34202,1.33581,1.38526,0.63516,0.40415,0.45953,0.2548,1.83104,1.92021,1.79082,0.000841835,0.000841835,0.000841835
52,522.837,1.35522,1.33979,1.40085,0.47308,0.4456,0.44205,0.24145,1.92436,2.11534,1.80175,0.000825332,0.000825332,0.000825332
53,532.746,1.29882,1.29161,1.34905,0.45858,0.48275,0.43433,0.22764,1.76052,2.27357,1.75922,0.000808828,0.000808828,0.000808828
54,542.631,1.28292,1.23215,1.36032,0.5522,0.46632,0.4583,0.23452,1.83762,1.88504,1.84805,0.000792325,0.000792325,0.000792325
55,552.147,1.26832,1.21187,1.34912,0.49876,0.4456,0.43519,0.25136,1.86156,2.31203,1.81264,0.000775822,0.000775822,0.000775822
56,561.987,1.28634,1.23565,1.3603,0.48813,0.42487,0.41257,0.21404,1.91533,2.1857,1.85033,0.000759318,0.000759318,0.000759318
57,571.869,1.2391,1.19805,1.33327,0.69081,0.40933,0.49545,0.28731,1.75075,1.80695,1.76865,0.000742815,0.000742815,0.000742815
58,581.701,1.2474,1.18178,1.33056,0.57086,0.43005,0.45027,0.25647,1.8319,1.86058,1.84649,0.000726312,0.000726312,0.000726312
59,591.136,1.24267,1.18858,1.31892,0.59532,0.41451,0.46478,0.25437,1.76973,2.07761,1.79437,0.000709809,0.000709809,0.000709809
60,600.768,1.24775,1.19224,1.33495,0.64698,0.40933,0.44831,0.25614,1.82494,1.99692,1.74978,0.000693305,0.000693305,0.000693305
61,610.38,1.22442,1.17528,1.31964,0.6661,0.43523,0.51025,0.29671,1.87297,1.88087,1.83014,0.000676802,0.000676802,0.000676802
62,620.618,1.16372,1.09384,1.2747,0.55565,0.47668,0.47915,0.28193,1.80975,2.12535,1.83396,0.000660299,0.000660299,0.000660299
63,630.135,1.17809,1.10186,1.28002,0.5675,0.43005,0.45973,0.2677,1.80441,2.02385,1.78562,0.000643795,0.000643795,0.000643795
64,639.893,1.18873,1.05447,1.28912,0.59251,0.50777,0.51567,0.30495,1.7739,1.76029,1.74566,0.000627292,0.000627292,0.000627292
65,649.591,1.15945,1.05553,1.27699,0.67229,0.43005,0.51014,0.29245,1.71766,1.83537,1.70586,0.000610789,0.000610789,0.000610789
66,659.302,1.13121,0.98551,1.24599,0.53271,0.48705,0.4699,0.27382,1.69508,1.95167,1.71818,0.000594286,0.000594286,0.000594286
67,668.986,1.21469,1.09914,1.31688,0.65829,0.44918,0.49378,0.2771,1.71698,1.90404,1.74104,0.000577782,0.000577782,0.000577782
68,678.805,1.15267,1.04534,1.26826,0.64173,0.4456,0.49198,0.2777,1.85619,1.7201,1.86117,0.000561279,0.000561279,0.000561279
69,688.853,1.12964,0.99972,1.253,0.677,0.45612,0.51967,0.30548,1.71906,1.75408,1.70291,0.000544776,0.000544776,0.000544776
70,698.673,1.21149,1.08979,1.31636,0.64925,0.44118,0.50046,0.30721,1.83331,1.77486,1.87784,0.000528272,0.000528272,0.000528272
71,708.101,1.08035,0.96194,1.23237,0.6683,0.4456,0.49055,0.28571,1.75291,2.01035,1.8262,0.000511769,0.000511769,0.000511769
72,718.039,1.13293,0.99002,1.24436,0.63815,0.46632,0.50735,0.31159,1.78012,1.99343,1.79573,0.000495266,0.000495266,0.000495266
73,728.06,1.13026,0.96492,1.23764,0.57792,0.43985,0.46926,0.28217,1.77871,2.1189,1.80425,0.000478762,0.000478762,0.000478762
74,737.872,1.08315,0.98171,1.22625,0.61404,0.48187,0.50757,0.31645,1.65844,1.77415,1.71033,0.000462259,0.000462259,0.000462259
75,747.205,1.07555,0.92112,1.22091,0.57547,0.53886,0.52601,0.31798,1.69117,1.84706,1.74618,0.000445756,0.000445756,0.000445756
76,757.064,1.10089,0.92412,1.23545,0.63904,0.52332,0.53599,0.31842,1.6988,1.81161,1.77133,0.000429253,0.000429253,0.000429253
77,767.359,1.05623,0.92465,1.21774,0.60742,0.51813,0.52549,0.32607,1.64371,1.75687,1.67111,0.000412749,0.000412749,0.000412749
78,777.235,1.10469,0.96861,1.22752,0.64274,0.47541,0.49642,0.29668,1.73108,1.94755,1.80246,0.000396246,0.000396246,0.000396246
79,786.438,1.06426,0.92238,1.21447,0.67879,0.48705,0.53323,0.30584,1.73218,1.85291,1.82019,0.000379743,0.000379743,0.000379743
80,796.167,1.04191,0.88752,1.18164,0.65803,0.47857,0.51292,0.31418,1.73796,1.8327,1.82908,0.000363239,0.000363239,0.000363239
81,806.064,1.03437,0.86325,1.2035,0.62476,0.50259,0.5252,0.32765,1.70634,1.80279,1.77436,0.000346736,0.000346736,0.000346736
82,816.044,1.06211,0.88518,1.22292,0.65776,0.47799,0.51566,0.30557,1.7142,1.72955,1.76383,0.000330233,0.000330233,0.000330233
83,825.647,1.00731,0.83904,1.1801,0.66579,0.50777,0.52774,0.32279,1.70603,1.70508,1.73979,0.000313729,0.000313729,0.000313729
84,835.898,0.99216,0.8717,1.16172,0.70658,0.48187,0.54763,0.34445,1.59426,1.63716,1.70935,0.000297226,0.000297226,0.000297226
85,845.789,0.97871,0.8589,1.16259,0.74265,0.41451,0.51236,0.32154,1.59178,1.75615,1.7087,0.000280723,0.000280723,0.000280723
86,856.046,0.96497,0.80273,1.15808,0.70142,0.4715,0.52936,0.33344,1.67831,1.71671,1.77198,0.00026422,0.00026422,0.00026422
87,865.207,1.00686,0.8724,1.18459,0.64869,0.48794,0.53656,0.3367,1.7065,1.77035,1.80645,0.000247716,0.000247716,0.000247716
88,875.112,0.9705,0.81046,1.14125,0.71838,0.46261,0.52403,0.33278,1.72529,1.92752,1.77385,0.000231213,0.000231213,0.000231213
89,884.641,0.96134,0.80214,1.14398,0.70491,0.49223,0.54226,0.34146,1.66423,1.72889,1.71288,0.00021471,0.00021471,0.00021471
90,895.208,0.94284,0.77634,1.14657,0.76212,0.46632,0.54005,0.35549,1.61693,1.70139,1.71482,0.000198206,0.000198206,0.000198206
91,907.623,0.94164,0.77012,1.10636,0.7693,0.45596,0.52947,0.34583,1.53811,1.70793,1.66965,0.000181703,0.000181703,0.000181703
92,917.134,0.90077,0.6754,1.08706,0.76267,0.43005,0.48425,0.32234,1.63978,1.81243,1.71987,0.0001652,0.0001652,0.0001652
93,926.797,0.88318,0.69485,1.09618,0.69745,0.45078,0.51001,0.32185,1.61902,1.77647,1.71128,0.000148696,0.000148696,0.000148696
94,936.589,0.86908,0.65895,1.08195,0.7765,0.46803,0.53139,0.3342,1.5679,1.63914,1.69847,0.000132193,0.000132193,0.000132193
95,946.348,0.80992,0.59284,1.04761,0.71723,0.44683,0.52572,0.32957,1.58039,1.67657,1.71781,0.00011569,0.00011569,0.00011569
96,955.536,0.82803,0.58759,1.06105,0.79536,0.42291,0.51181,0.33355,1.60527,1.73027,1.7216,9.91865e-05,9.91865e-05,9.91865e-05
97,965.178,0.82272,0.61075,1.06775,0.6246,0.48277,0.51482,0.33709,1.63522,1.75969,1.75505,8.26832e-05,8.26832e-05,8.26832e-05
98,975.174,0.82051,0.61618,1.0581,0.83133,0.4086,0.52271,0.34123,1.64566,1.74529,1.74661,6.61799e-05,6.61799e-05,6.61799e-05
99,984.625,0.82155,0.59979,1.03939,0.68857,0.44679,0.52434,0.33973,1.64577,1.76669,1.74589,4.96766e-05,4.96766e-05,4.96766e-05
100,993.993,0.78215,0.56186,1.02732,0.70756,0.47668,0.53074,0.34294,1.6489,1.76501,1.7648,3.31733e-05,3.31733e-05,3.31733e-05
